/egr/research-slim/ghoshavr/edge-of-stability/src/utilities.py:242: UserWarning: torch.linalg.svd: During SVD computation with the selected cusolver driver, batches 0 failed to converge. A more accurate method will be used to compute the SVD as a fallback. Check doc at https://pytorch.org/docs/stable/generated/torch.linalg.svd.html (Triggered internally at /opt/conda/conda-bld/pytorch_1670525541035/work/aten/src/ATen/native/cuda/linalg/BatchLinearAlgebraLib.cpp:869.)
  u, s, v = torch.svd(layer.weight.data)
device: cuda:0
output directory: RESULTS/cifar10/fc-relu/seed_0/mse/gd//lr_0.2
Files already downloaded and verified
Files already downloaded and verified
eigenvalues:  tensor([15.4596, 14.0058])
0	0.518	0.085	0.518	0.090
10	0.402	0.355	0.402	0.354
20	0.389	0.387	0.390	0.382
30	0.380	0.407	0.382	0.405
40	0.374	0.423	0.376	0.420
50	0.367	0.438	0.370	0.432
60	0.364	0.448	0.367	0.441
70	0.365	0.445	0.368	0.436
80	0.359	0.457	0.364	0.449
90	0.356	0.467	0.361	0.455
eigenvalues:  tensor([11.8771, 11.6506])
100	0.353	0.472	0.360	0.458
110	0.355	0.469	0.362	0.448
120	0.348	0.482	0.356	0.461
130	0.350	0.481	0.358	0.459
140	0.349	0.487	0.357	0.463
150	0.342	0.497	0.351	0.472
160	0.348	0.481	0.357	0.461
170	0.343	0.498	0.353	0.470
180	0.340	0.499	0.350	0.471
190	0.337	0.505	0.348	0.477
eigenvalues:  tensor([11.7519, 11.2074])
200	0.337	0.504	0.349	0.473
210	0.334	0.516	0.347	0.478
220	0.336	0.514	0.349	0.479
230	0.332	0.516	0.346	0.479
240	0.329	0.525	0.344	0.484
250	0.332	0.521	0.347	0.481
260	0.331	0.520	0.346	0.480
270	0.331	0.522	0.347	0.479
280	0.329	0.524	0.345	0.481
290	0.326	0.537	0.343	0.491
eigenvalues:  tensor([11.9547, 11.6797])
300	0.326	0.537	0.344	0.486
310	0.323	0.543	0.341	0.490
320	0.323	0.537	0.342	0.487
330	0.319	0.545	0.339	0.492
340	0.320	0.544	0.341	0.493
350	0.319	0.544	0.340	0.492
360	0.317	0.549	0.338	0.494
370	0.318	0.551	0.340	0.495
380	0.315	0.556	0.339	0.497
390	0.319	0.545	0.343	0.485
eigenvalues:  tensor([13.7202, 12.7560])
400	0.330	0.531	0.354	0.472
410	0.312	0.562	0.338	0.498
420	0.313	0.565	0.339	0.495
430	0.312	0.566	0.338	0.504
440	0.310	0.568	0.336	0.503
450	0.312	0.565	0.339	0.498
460	0.312	0.561	0.340	0.494
470	0.308	0.571	0.335	0.500
480	0.308	0.576	0.336	0.502
490	0.306	0.576	0.335	0.504
eigenvalues:  tensor([12.6441, 11.9335])
500	0.312	0.560	0.341	0.494
510	0.306	0.573	0.336	0.502
520	0.301	0.591	0.332	0.510
530	0.306	0.579	0.336	0.498
540	0.305	0.582	0.337	0.500
550	0.307	0.578	0.340	0.493
560	0.305	0.578	0.338	0.499
570	0.303	0.581	0.337	0.495
580	0.298	0.592	0.332	0.509
590	0.298	0.589	0.334	0.508
eigenvalues:  tensor([12.5500, 11.9693])
600	0.301	0.587	0.335	0.504
610	0.299	0.596	0.334	0.510
620	0.299	0.589	0.334	0.510
630	0.299	0.591	0.336	0.502
640	0.296	0.595	0.333	0.505
650	0.297	0.594	0.334	0.505
660	0.296	0.596	0.334	0.505
670	0.296	0.593	0.335	0.507
680	0.295	0.598	0.335	0.504
690	0.295	0.597	0.335	0.504
eigenvalues:  tensor([14.1832, 12.8565])
700	0.291	0.605	0.332	0.509
710	0.290	0.609	0.331	0.510
720	0.289	0.613	0.331	0.513
730	0.289	0.611	0.331	0.508
740	0.292	0.603	0.333	0.509
750	0.286	0.618	0.329	0.518
760	0.286	0.621	0.329	0.518
770	0.288	0.617	0.333	0.514
780	0.290	0.614	0.336	0.507
790	0.286	0.619	0.332	0.511
eigenvalues:  tensor([14.4392, 12.5862])
800	0.283	0.617	0.330	0.517
810	0.284	0.619	0.331	0.513
820	0.287	0.616	0.335	0.505
830	0.290	0.608	0.336	0.506
840	0.290	0.611	0.336	0.508
850	0.285	0.619	0.334	0.510
860	0.287	0.617	0.336	0.504
870	0.286	0.617	0.334	0.504
880	0.282	0.625	0.332	0.514
890	0.282	0.625	0.332	0.515
eigenvalues:  tensor([13.7013, 12.7296])
900	0.287	0.618	0.336	0.510
910	0.284	0.624	0.335	0.506
920	0.279	0.635	0.331	0.513
930	0.277	0.635	0.330	0.517
940	0.282	0.630	0.335	0.507
950	0.278	0.636	0.332	0.514
960	0.275	0.641	0.330	0.512
970	0.277	0.638	0.332	0.517
980	0.280	0.635	0.333	0.513
990	0.277	0.641	0.332	0.512
eigenvalues:  tensor([13.6790, 12.8905])
1000	0.271	0.656	0.328	0.528
1010	0.282	0.630	0.338	0.495
1020	0.274	0.648	0.330	0.517
1030	0.273	0.649	0.331	0.516
1040	0.275	0.638	0.335	0.506
1050	0.271	0.647	0.331	0.513
1060	0.276	0.644	0.334	0.513
1070	0.277	0.636	0.337	0.502
1080	0.274	0.643	0.334	0.511
1090	0.275	0.639	0.336	0.506
eigenvalues:  tensor([14.3473, 14.1601])
1100	0.270	0.650	0.331	0.520
1110	0.266	0.660	0.328	0.524
1120	0.272	0.649	0.333	0.516
1130	0.262	0.668	0.325	0.529
1140	0.267	0.665	0.330	0.515
1150	0.268	0.659	0.330	0.519
1160	0.272	0.650	0.337	0.503
1170	0.275	0.640	0.338	0.506
1180	0.266	0.665	0.331	0.516
1190	0.271	0.651	0.335	0.508
eigenvalues:  tensor([14.1062, 12.6857])
1200	0.257	0.686	0.324	0.529
1210	0.282	0.630	0.347	0.500
1220	0.260	0.675	0.328	0.523
1230	0.254	0.685	0.324	0.528
1240	0.267	0.661	0.333	0.518
1250	0.280	0.637	0.345	0.493
1260	0.262	0.665	0.332	0.517
1270	0.259	0.680	0.329	0.521
1280	0.267	0.659	0.336	0.505
1290	0.262	0.669	0.332	0.514
eigenvalues:  tensor([20.1556, 17.0895])
1300	0.272	0.646	0.342	0.504
1310	0.258	0.681	0.330	0.517
1320	0.267	0.663	0.337	0.507
1330	0.260	0.671	0.333	0.516
1340	0.270	0.658	0.339	0.498
1350	0.265	0.667	0.337	0.509
1360	0.262	0.671	0.335	0.516
1370	0.251	0.696	0.326	0.529
1380	0.256	0.685	0.331	0.521
1390	0.277	0.639	0.348	0.490
eigenvalues:  tensor([17.7465, 15.0543])
1400	0.260	0.673	0.335	0.514
1410	0.252	0.691	0.328	0.523
1420	0.256	0.692	0.333	0.513
1430	0.253	0.687	0.332	0.518
1440	0.251	0.689	0.332	0.518
1450	0.257	0.677	0.336	0.514
1460	0.264	0.664	0.341	0.500
1470	0.254	0.695	0.333	0.513
1480	0.252	0.688	0.333	0.515
1490	0.258	0.675	0.339	0.515
eigenvalues:  tensor([17.2971, 14.1379])
1500	0.244	0.707	0.326	0.532
1510	54014492.000	0.100	52136104.000	0.100
Traceback (most recent call last):
  File "src/gd.py", line 126, in <module>
    seed=args.seed,device_id=args.device_id)
  File "src/gd.py", line 58, in main
    store_singular_values(network, singular_value_storage)
  File "/egr/research-slim/ghoshavr/edge-of-stability/src/utilities.py", line 242, in store_singular_values
    u, s, v = torch.svd(layer.weight.data)
torch._C._LinAlgError: linalg.svd: The algorithm failed to converge because the input matrix is ill-conditioned or has too many repeated singular values (error code: 199).
